TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score	pval	isSig	Component
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.61	7	65	423	4577	8	0.00055	513	0.000714	-2.393	0.889	0.00835562054373697	0	375
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	0	72	15	4985	0	0	15	3.55e-05	-2.492	0	0.0063513018707704	0	375
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	16	56	1349	3651	55	0.00416	3014	0.00461	-2.587	0.162	0.00484077960857191	0	375
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	6	66	352	4648	6	0.000453	415	0.000635	-2.803	0.919	0.0025314834670931	0	375
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	23	49	1370	3630	46	0.00348	2585	0.00396	-2.936	1.463	0.00166237161238458	0	375
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	12	60	739	4261	17	0.00164	1017	0.00198	-2.996	0.978	0.00136773216867618	0	375
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	11	61	541	4459	12	0.00124	744	0.00155	-3.095	1.868	0.0009840644854699	0	375
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	39	33	2613	2387	267	0.0128	14188	0.0138	-3.203	0.867	0.00068001990523736	0	375
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	10	62	673	4327	14	0.00106	894	0.00137	-3.236	0.672	0.000606086920826165	0	375
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	0	72	18	4982	0	0	18	7.51e-05	-3.458	0	0.000272100692166119	1	375
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.51	57	15	3485	1515	630	0.026	32953	0.0275	-3.595	2.988	0.000162195788433373	1	375
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	48	24	2765	2235	242	0.015	13093	0.0164	-4.308	3.375	8.23686926271756e-06	1	375
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	0	72	50	4950	0	0	50	0.000125	-4.386	0	5.77270603574414e-06	1	375
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	1	71	118	4882	1	0.000151	122	0.000373	-4.457	0.197	4.15573015872443e-06	1	375
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	40	32	2224	2776	173	0.0143	9537	0.0159	-5.067	3.224	2.02067141508833e-07	1	375
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	49	23	2965	2035	371	0.0229	20051	0.0251	-5.291	2.498	6.08246831612364e-08	1	375
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	0	72	87	4913	0	0	89	0.000186	-5.296	0	5.91834186978413e-08	1	375
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.04	0.194	46	26	3136	1864	499	0.0206	27506	0.023	-6.099	0.751	5.33670350137685e-10	1	375
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.07	0.453	20	52	1532	3468	46	0.00379	2953	0.00493	-6.215	0.302	2.56623249673991e-10	1	375
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	55	17	3564	1436	756	0.0416	40535	0.0451	-6.557	1.572	2.74505067629627e-11	1	375
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	46	26	3020	1980	409	0.0141	24083	0.0168	-8.045	1.145	4.31227116204871e-16	1	375
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	18	54	1157	3843	34	0.00304	2457	0.00444	-8.091	0.917	2.95884275767479e-16	1	375
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.26	43	29	2735	2265	257	0.0141	15232	0.017	-8.367	1.456	2.95518488406633e-17	1	375
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.47	0.391	39	33	2745	2255	218	0.015	12929	0.018	-8.651	0.515	2.55250513279429e-18	1	375
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	50	22	3252	1748	567	0.0234	32529	0.0272	-8.883	1.351	3.25404817565375e-19	1	375
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	14	58	1163	3837	23	0.00253	1911	0.00425	-10.136	0.204	1.91220114502984e-24	1	375
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	38	34	2523	2477	204	0.00981	13419	0.0131	-10.955	0.934	3.14391844946418e-28	1	375
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	50	22	3419	1581	665	0.032	38510	0.0375	-11.096	0.734	6.55922905094029e-29	1	375
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.61	3	19	400	4600	4	0.00338	487	0.000677	11.115	1.358	5.30253172736136e-29	1	403
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	1	21	110	4890	1	0.00186	116	0.000355	8.436	0.944	1.64191395327119e-17	1	403
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	10	12	2776	2224	27	0.0228	11047	0.0154	6.535	0.131	3.18047706606097e-11	1	403
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.74	0.657	7	15	2185	2815	19	0.0128	7392	0.00823	5.5	0.093	1.89895624658877e-08	1	403
Esrrb	MA0141.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.806	0.524	7	15	2034	2966	13	0.0132	5281	0.00881	5.021	0.155	2.57015797671109e-07	1	403
ELK4	MA0076.1	Winged Helix-Turn-Helix	Ets	vertebrates	14.123	0.583	4	18	1242	3758	6	0.00456	1926	0.00241	4.672	0.182	1.49140479887647e-06	1	403
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	11	11	3344	1656	48	0.0284	22718	0.0221	4.59	0.032	2.21623004811754e-06	1	403
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	14	8	2748	2252	25	0.0232	11715	0.0179	4.306	1.288	8.31165278948606e-06	1	403
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	1	21	220	4780	1	0.00169	246	0.000684	4.003	0.463	3.12721510897919e-05	1	403
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	5	17	1896	3104	10	0.00929	4195	0.00642	3.851	0.042	5.88182494523252e-05	1	403
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	3	19	751	4249	3	0.00355	1021	0.00199	3.702	0.411	0.000106953309134195	1	403
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	6	16	1696	3304	8	0.00675	3256	0.00453	3.538	0.211	0.000201585029178599	1	403
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.19	0.424	6	16	1756	3244	9	0.0076	3826	0.00532	3.342	0.175	0.000415885303605869	1	403
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	10	12	2746	2254	27	0.0137	13148	0.011	2.78	0.145	0.00271794492270126	0	403
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	1	21	267	4733	1	0.00144	314	0.000742	2.599	0.354	0.00467478866385762	0	403
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	10	12	2835	2165	24	0.0162	12210	0.0136	2.425	0.107	0.00765419337737332	0	403
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	7	15	2137	2863	12	0.0101	5887	0.00819	2.294	0.11	0.0108952493703709	0	403
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	3	19	1714	3286	8	0.00675	3832	0.00533	2.065	0.007	0.0194615001471579	0	403
RELA	MA0107.1	Ig-fold	Rel	vertebrates	14.757	0.567	5	17	1472	3528	6	0.00507	2785	0.00387	2.013	0.197	0.0220573146771035	0	403
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	4	18	1160	3840	4	0.00371	1806	0.00276	1.885	0.241	0.0297149189083106	0	403
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	7	15	2265	2735	15	0.0127	7860	0.0109	1.767	0.069	0.0386141141507831	0	403
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	2	20	827	4173	3	0.00279	1326	0.00203	1.729	0.106	0.0419045475394737	0	403
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.29	0.643	6	16	1927	3073	9	0.00532	4364	0.00425	1.719	0.098	0.0428071859628124	0	403
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	9	13	3121	1879	33	0.0251	18231	0.0228	1.609	0.012	0.0538081708125641	0	403
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	3	19	1437	3563	6	0.00304	2798	0.00234	1.492	0.028	0.0678495726689275	0	403
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	13	9	3586	1414	73	0.037	41647	0.0348	1.293	0.067	0.0980055295499368	0	403
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	3	19	1137	3863	4	0.00507	2061	0.0043	1.202	0.099	0.114681764044109	0	403
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	4	18	1700	3300	7	0.00591	3788	0.00527	0.899	0.031	0.184326330326573	0	403
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	1	21	376	4624	1	0.00118	470	0.000915	0.808	0.197	0.209545291071071	0	403
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	1	21	425	4575	1	0.00152	508	0.00127	0.627	0.153	0.265329617579084	0	403
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	4	18	1271	3729	4	0.00439	2278	0.00412	0.388	0.165	0.349008016801571	0	403
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	8	14	2818	2182	22	0.0167	13098	0.0164	0.237	0.018	0.406328395128797	0	403
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	4	18	1508	3492	6	0.00608	3580	0.00598	0.085	0.069	0.466130695355371	0	403
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	7	15	2350	2650	14	0.0142	8479	0.0142	-0.011	0.05	0.495611723412674	0	403
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	3	19	1667	3333	6	0.00507	3688	0.00513	-0.163	0.009	0.435259217335481	0	403
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	1	21	534	4466	1	0.00152	664	0.00166	-0.495	0.087	0.310300060254488	0	403
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	3	19	1145	3855	3	0.00304	1956	0.00326	-0.511	0.096	0.304675528386535	0	403
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	10	12	2744	2256	28	0.0236	17881	0.0249	-0.892	0.146	0.186196466197424	0	403
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.65	0.609	5	17	2144	2856	10	0.0118	6568	0.0128	-0.982	0.014	0.163049924105862	0	403
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	0	22	19	4981	0	0	19	4.49e-05	-1.415	0	0.0785342480170481	0	403
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	0	22	12	4988	0	0	12	3.34e-05	-1.424	0	0.0772232360346038	0	403
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	12	10	3538	1462	52	0.0263	34143	0.0285	-1.438	0.033	0.0752170270718458	0	403
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	0	22	22	4978	0	0	22	9.18e-05	-1.522	0	0.0640045403462046	0	403
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	3	19	1214	3786	3	0.0038	2269	0.00473	-1.55	0.073	0.060570758002059	0	403
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	0	22	42	4958	0	0	42	0.000105	-1.564	0	0.0589087842096593	0	403
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	3	19	1258	3742	3	0.00304	2334	0.0039	-1.57	0.061	0.058207555638553	0	403
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	1	21	735	4265	1	0.000929	947	0.00145	-1.61	0.031	0.0536989281481197	0	403
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	0	22	48	4952	0	0	52	0.000152	-1.714	0	0.0432643629336606	0	403
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.64	0.435	11	11	3221	1779	28	0.0165	19151	0.0186	-1.724	0.055	0.0423539215814377	0	403
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	9	13	3137	1863	24	0.0162	16444	0.0183	-1.731	0.011	0.0417258822331547	0	403
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	2	20	1238	3762	3	0.00279	2480	0.00379	-1.86	0.016	0.0314427629807527	0	403
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	0	22	95	4905	0	0	99	0.000207	-1.884	0	0.0297824877345974	0	403
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	0	22	72	4928	0	0	75	0.000209	-1.89	0	0.0293789800404094	0	403
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	8	14	2310	2690	11	0.00836	8091	0.0101	-1.971	0.136	0.0243619379080252	0	403
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	7	15	1936	3064	9	0.0106	6578	0.0128	-2.144	0.211	0.0160164433923986	0	403
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	0	22	2	4998	0	0	2	5.56e-06	-2.204	0	0.013762172043441	0	403
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	11	11	3381	1619	34	0.0258	23410	0.0293	-2.269	0.027	0.0116341629345867	0	403
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	0	22	195	4805	0	0	218	0.000364	-2.317	0	0.0102518658834343	0	403
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	0	22	166	4834	0	0	180	0.000451	-2.527	0	0.00575207513677217	0	403
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	0	22	218	4782	0	0	246	0.000479	-2.593	0	0.00475713852939453	0	403
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	0	22	240	4760	0	0	268	0.000522	-2.688	0	0.00359406983283069	0	403
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.31	1	21	801	4199	1	0.00101	1268	0.00212	-2.713	0.022	0.00333385532859956	0	403
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	2	20	1277	3723	2	0.00118	2429	0.00236	-2.746	0.013	0.0030163381812035	0	403
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.4	0.588	8	14	2691	2309	21	0.0177	15354	0.0214	-2.764	0.032	0.0028548769650966	0	403
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	8	14	2479	2521	22	0.0186	16019	0.0223	-2.766	0.075	0.00283742674024795	0	403
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	0	22	336	4664	0	0	390	0.000597	-2.848	0	0.00219974622839991	0	403
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	1	21	815	4185	1	0.00118	1258	0.00245	-2.884	0.02	0.00196329376660296	0	403
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.07	0.453	3	19	1524	3476	3	0.00304	2905	0.00485	-2.902	0.019	0.00185394270148372	0	403
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	3	19	1871	3129	4	0.0027	3997	0.00445	-2.925	0.003	0.00172228111586763	0	403
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	8	14	2670	2330	18	0.0106	14098	0.0137	-2.93	0.035	0.00169481001927726	0	403
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	1	21	832	4168	1	0.00101	1346	0.00225	-2.933	0.018	0.00167851945995926	0	403
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.53	0	22	264	4736	0	0	292	0.000812	-3.265	0	0.000547320382707776	0	403
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	2	20	1293	3707	2	0.00253	2210	0.00461	-3.407	0.012	0.000328405635064393	1	403
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	3	19	1654	3346	3	0.00203	3596	0.004	-3.478	0.01	0.000252584962450806	1	403
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.28	0	22	379	4621	0	0	485	0.000944	-3.496	0	0.000236144349955052	1	403
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	2	20	1327	3673	2	0.00186	2511	0.00384	-3.566	0.01	0.000181235684870419	1	403
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	0	22	311	4689	0	0	368	0.00102	-3.628	0	0.000142812630531767	1	403
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	8	14	2790	2210	14	0.00945	11952	0.0133	-3.693	0.021	0.000110812011544784	1	403
Tal1::Gata1	MA0140.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.297	0.451	2	20	1262	3738	2	0.00304	2251	0.00564	-3.837	0.014	6.22732360512462e-05	1	403
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.06	0.466	12	10	3561	1439	47	0.0278	35125	0.0342	-3.874	0.03	5.35317060807447e-05	1	403
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	7	15	2739	2261	15	0.0139	12393	0.019	-4.05	0.009	2.56088164740415e-05	1	403
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	8	14	2566	2434	15	0.00886	13423	0.0131	-4.071	0.054	2.34058747343264e-05	1	403
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	1	21	1127	3873	1	0.00101	1874	0.00313	-4.204	0.004	1.31119468085098e-05	1	403
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	1	21	1107	3893	1	0.00101	1959	0.00327	-4.383	0.004	5.85280564872439e-06	1	403
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	0	22	555	4445	0	0	737	0.00154	-4.388	0	5.71988879079468e-06	1	403
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	2	20	1438	3562	2	0.00169	3099	0.00431	-4.426	0.006	4.7998261772131e-06	1	403
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	0	22	619	4381	0	0	845	0.00165	-4.532	0	2.92139249656842e-06	1	403
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	10	12	3081	1919	22	0.013	19180	0.0187	-4.596	0.041	2.15339348387373e-06	1	403
Gata1	MA0035.2	Zinc-coordinating	GATA	vertebrates	10.878	0.373	9	13	2915	2085	18	0.0167	15057	0.023	-4.618	0.032	1.9372812671901e-06	1	403
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	4	18	2075	2925	5	0.00507	5570	0.0093	-4.847	0.005	6.2671213844963e-07	1	403
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	0	22	757	4243	0	0	1020	0.00199	-4.959	0	3.54284836301312e-07	1	403
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	8	14	2762	2238	14	0.00945	13535	0.0151	-5.047	0.023	2.24400675392903e-07	1	403
CTCF	MA0139.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	0	22	652	4348	0	0	796	0.0021	-5.097	0	1.72539164338759e-07	1	403
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	12	10	3427	1573	50	0.0253	40493	0.0338	-5.126	0.056	1.47981302419057e-07	1	403
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.47	0.391	6	16	2784	2216	14	0.0118	12974	0.018	-5.126	0.002	1.47981302419057e-07	1	403
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	0	22	674	4326	0	0	1031	0.00215	-5.152	0	1.28861518015715e-07	1	403
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.26	7	15	2735	2265	15	0.0101	14989	0.0167	-5.601	0.009	1.06559368542514e-08	1	403
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	12	10	3574	1426	51	0.0344	40560	0.0451	-5.627	0.028	9.16853638079255e-09	1	403
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	7	15	3040	1960	24	0.0101	24128	0.0168	-5.671	0.002	7.09831991432283e-09	1	403
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	6	16	2975	2025	22	0.0167	19869	0.0249	-5.731	0.001	4.99201333355485e-09	1	403
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	0	22	1059	3941	0	0	1691	0.00282	-5.877	0	2.08884104119739e-09	1	403
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	5	17	2625	2375	11	0.00743	12278	0.0137	-5.884	0.001	2.00233918380727e-09	1	403
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	1	21	1323	3677	1	0.000929	3026	0.00463	-6.002	0.001	9.74508507191316e-10	1	403
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	6	16	2363	2637	9	0.00912	9756	0.0163	-6.199	0.017	2.84115159552059e-10	1	403
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.07	0.202	2	20	1596	3404	2	0.00186	4269	0.00653	-6.373	0.002	9.26829425703075e-11	1	403
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.51	11	11	3519	1481	35	0.0177	33086	0.0276	-6.593	0.013	2.1551328832198e-11	1	403
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	2	20	1994	3006	2	0.00169	4743	0.0066	-6.656	0	1.40690126298127e-11	1	403
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	6	16	2707	2293	9	0.0076	11060	0.0154	-6.923	0.003	2.21088884304843e-12	1	403
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	4	18	2117	2883	5	0.00633	6579	0.0137	-6.957	0.004	1.737974794245e-12	1	403
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	6	16	2278	2722	8	0.0081	9710	0.0162	-7.021	0.024	1.101429276617e-12	1	403
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	0	22	1167	3833	0	0	1853	0.00412	-7.075	0	7.47243803973889e-13	1	403
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	6	16	2617	2383	8	0.00608	11056	0.0138	-7.271	0.005	1.7841797144193e-13	1	403
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	0	22	1140	3860	0	0	2463	0.00445	-7.349	0	9.98475941037896e-14	1	403
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.04	0.194	8	14	3153	1847	24	0.0122	27508	0.023	-7.88	0.003	1.63690539550678e-15	1	403
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	9	13	3427	1573	36	0.0213	38606	0.0376	-9.36	0.002	3.98683461131598e-21	1	403
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	9	13	3257	1743	23	0.0116	32398	0.027	-10.354	0.006	2.00679336537878e-25	1	403
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.28	4	44	384	4616	14	0.00259	509	0.00098	14.113	0.673	1.57925092689415e-45	1	407
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	15	33	1153	3847	35	0.00741	1878	0.00413	14.01	2.094	6.77024888013228e-45	1	407
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	5	43	309	4691	9	0.00238	377	0.00104	11.426	1.738	1.55032799549706e-30	1	407
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	21	27	1682	3318	59	0.00781	3720	0.00512	10.336	2.355	2.4216690306677e-25	1	407
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	3	45	162	4838	6	0.000953	181	0.000299	10.296	1.579	3.67261812965633e-25	1	407
